participant,trial,phase,age,gender,height,hip_height,knee_height,lowest_height_not_afforded,time,width,relative_height,scaled_height,action
1,1,outbound,19,f,22,32.0,17.75,24,2015-02-25 10:07:56.179809,9.0,-2,0.9166666666666666,over
1,1,return,19,f,22,32.0,17.75,24,2015-02-25 10:07:56.179809,9.0,-2,0.9166666666666666,around
1,2,outbound,19,f,20,32.0,17.75,24,2015-02-25 10:10:01.416186,4.5,-4,0.8333333333333334,over
1,2,return,19,f,20,32.0,17.75,24,2015-02-25 10:10:01.416186,4.5,-4,0.8333333333333334,around
1,3,outbound,19,f,20,32.0,17.75,24,2015-02-25 10:10:32.265033,6.0,-4,0.8333333333333334,over
1,3,return,19,f,20,32.0,17.75,24,2015-02-25 10:10:32.265033,6.0,-4,0.8333333333333334,around
1,4,outbound,19,f,18,32.0,17.75,24,2015-02-25 10:11:01.183595,4.5,-6,0.75,over
1,4,return,19,f,18,32.0,17.75,24,2015-02-25 10:11:01.183595,4.5,-6,0.75,around
1,5,outbound,19,f,26,32.0,17.75,24,2015-02-25 10:11:27.581363,9.0,2,1.0833333333333333,around
1,5,return,19,f,26,32.0,17.75,24,2015-02-25 10:11:27.581363,9.0,2,1.0833333333333333,around
1,6,outbound,19,f,14,32.0,17.75,24,2015-02-25 10:11:56.340772,4.5,-10,0.5833333333333334,over
1,6,return,19,f,14,32.0,17.75,24,2015-02-25 10:11:56.340772,4.5,-10,0.5833333333333334,around
1,7,outbound,19,f,22,32.0,17.75,24,2015-02-25 10:12:26.630854,6.0,-2,0.9166666666666666,around
1,7,return,19,f,22,32.0,17.75,24,2015-02-25 10:12:26.630854,6.0,-2,0.9166666666666666,around
1,8,outbound,19,f,20,32.0,17.75,24,2015-02-25 10:13:01.400635,9.0,-4,0.8333333333333334,over
1,8,return,19,f,20,32.0,17.75,24,2015-02-25 10:13:01.400635,9.0,-4,0.8333333333333334,over
1,9,outbound,19,f,14,32.0,17.75,24,2015-02-25 10:13:31.813186,4.5,-10,0.5833333333333334,over
1,9,return,19,f,14,32.0,17.75,24,2015-02-25 10:13:31.813186,4.5,-10,0.5833333333333334,around
1,10,outbound,19,f,22,32.0,17.75,24,2015-02-25 10:14:01.729270,9.0,-2,0.9166666666666666,around
1,10,return,19,f,22,32.0,17.75,24,2015-02-25 10:14:01.729270,9.0,-2,0.9166666666666666,around
1,11,outbound,19,f,18,32.0,17.75,24,2015-02-25 10:14:31.766487,4.5,-6,0.75,over
1,11,return,19,f,18,32.0,17.75,24,2015-02-25 10:14:31.766487,4.5,-6,0.75,around
1,12,outbound,19,f,20,32.0,17.75,24,2015-02-25 10:14:58.693354,10.5,-4,0.8333333333333334,over
1,12,return,19,f,20,32.0,17.75,24,2015-02-25 10:14:58.693354,10.5,-4,0.8333333333333334,around
1,13,outbound,19,f,22,32.0,17.75,24,2015-02-25 10:15:31.531644,10.5,-2,0.9166666666666666,around
1,13,return,19,f,22,32.0,17.75,24,2015-02-25 10:15:31.531644,10.5,-2,0.9166666666666666,around
1,14,outbound,19,f,10,32.0,17.75,24,2015-02-25 10:15:59.863583,4.5,-14,0.4166666666666667,over
1,14,return,19,f,10,32.0,17.75,24,2015-02-25 10:15:59.863583,4.5,-14,0.4166666666666667,around
1,15,outbound,19,f,16,32.0,17.75,24,2015-02-25 10:16:33.609712,9.0,-8,0.6666666666666666,over
1,15,return,19,f,16,32.0,17.75,24,2015-02-25 10:16:33.609712,9.0,-8,0.6666666666666666,around
1,16,outbound,19,f,16,32.0,17.75,24,2015-02-25 10:17:03.094076,4.5,-8,0.6666666666666666,over
1,16,return,19,f,16,32.0,17.75,24,2015-02-25 10:17:03.094076,4.5,-8,0.6666666666666666,around
1,17,outbound,19,f,18,32.0,17.75,24,2015-02-25 10:17:31.126816,10.5,-6,0.75,over
1,17,return,19,f,18,32.0,17.75,24,2015-02-25 10:17:31.126816,10.5,-6,0.75,around
1,18,outbound,19,f,10,32.0,17.75,24,2015-02-25 10:18:01.903789,10.5,-14,0.4166666666666667,over
1,18,return,19,f,10,32.0,17.75,24,2015-02-25 10:18:01.903789,10.5,-14,0.4166666666666667,around
1,19,outbound,19,f,10,32.0,17.75,24,2015-02-25 10:18:30.118717,9.0,-14,0.4166666666666667,over
1,19,return,19,f,10,32.0,17.75,24,2015-02-25 10:18:30.118717,9.0,-14,0.4166666666666667,around
1,20,outbound,19,f,10,32.0,17.75,24,2015-02-25 10:19:05.052840,12.0,-14,0.4166666666666667,over
1,20,return,19,f,10,32.0,17.75,24,2015-02-25 10:19:05.052840,12.0,-14,0.4166666666666667,around
1,21,outbound,19,f,16,32.0,17.75,24,2015-02-25 10:19:43.592053,4.5,-8,0.6666666666666666,over
1,21,return,19,f,16,32.0,17.75,24,2015-02-25 10:19:43.592053,4.5,-8,0.6666666666666666,around
1,22,outbound,19,f,16,32.0,17.75,24,2015-02-25 10:20:15.560350,10.5,-8,0.6666666666666666,over
1,22,return,19,f,16,32.0,17.75,24,2015-02-25 10:20:15.560350,10.5,-8,0.6666666666666666,around
1,23,outbound,19,f,16,32.0,17.75,24,2015-02-25 10:20:48.149618,10.5,-8,0.6666666666666666,over
1,23,return,19,f,16,32.0,17.75,24,2015-02-25 10:20:48.149618,10.5,-8,0.6666666666666666,around
1,24,outbound,19,f,20,32.0,17.75,24,2015-02-25 10:21:16.480450,4.5,-4,0.8333333333333334,around
1,24,return,19,f,20,32.0,17.75,24,2015-02-25 10:21:16.480450,4.5,-4,0.8333333333333334,around
1,25,outbound,19,f,14,32.0,17.75,24,2015-02-25 10:21:46.797747,9.0,-10,0.5833333333333334,over
1,25,return,19,f,14,32.0,17.75,24,2015-02-25 10:21:46.797747,9.0,-10,0.5833333333333334,around
1,26,outbound,19,f,26,32.0,17.75,24,2015-02-25 10:22:17.795854,10.5,2,1.0833333333333333,around
1,26,return,19,f,26,32.0,17.75,24,2015-02-25 10:22:17.795854,10.5,2,1.0833333333333333,around
1,27,outbound,19,f,26,32.0,17.75,24,2015-02-25 10:22:53.818729,12.0,2,1.0833333333333333,around
1,27,return,19,f,26,32.0,17.75,24,2015-02-25 10:22:53.818729,12.0,2,1.0833333333333333,around
1,28,outbound,19,f,10,32.0,17.75,24,2015-02-25 10:23:43.580868,7.5,-14,0.4166666666666667,over
1,28,return,19,f,10,32.0,17.75,24,2015-02-25 10:23:43.580868,7.5,-14,0.4166666666666667,around
1,29,outbound,19,f,14,32.0,17.75,24,2015-02-25 10:24:14.626589,12.0,-10,0.5833333333333334,over
