participant,trial,age,full_height,height,hip_height,knee_height,max_afforded_obstacle_height,outbound,return,time,width
3,24,,,24,,,,,,NaT,7.5
3,25,,,28,,,,,,NaT,6.0
3,26,,,24,,,,,,NaT,12.0
3,27,,,12,,,,,,NaT,4.5
3,28,,,32,,,,,,NaT,6.0
3,29,,,12,,,,,,NaT,7.5
3,30,,,32,,,,,,NaT,4.5
3,31,,,28,,,,,,NaT,9.0
3,32,,,20,,,,,,NaT,12.0
3,33,,,20,,,,,,NaT,6.0
3,34,,,20,,,,,,NaT,10.5
3,35,,,16,,,,,,NaT,12.0
3,36,,,12,,,,,,NaT,10.5
4,1,,,16,,,,,,NaT,12.0
4,2,,,28,,,,,,NaT,9.0
4,3,,,24,,,,,,NaT,4.5
4,4,,,12,,,,,,NaT,7.5
4,5,,,12,,,,,,NaT,10.5
4,6,,,16,,,,,,NaT,6.0
4,7,,,12,,,,,,NaT,6.0
4,8,,,32,,,,,,NaT,9.0
4,9,,,12,,,,,,NaT,12.0
4,10,,,32,,,,,,NaT,6.0
4,11,,,24,,,,,,NaT,6.0
4,12,,,28,,,,,,NaT,4.5
4,13,,,32,,,,,,NaT,4.5
4,14,,,32,,,,,,NaT,12.0
4,15,,,24,,,,,,NaT,9.0
4,16,,,20,,,,,,NaT,9.0
4,17,,,20,,,,,,NaT,10.5
4,18,,,24,,,,,,NaT,12.0
4,19,,,20,,,,,,NaT,7.5
4,20,,,16,,,,,,NaT,9.0
4,21,,,28,,,,,,NaT,12.0
4,22,,,24,,,,,,NaT,10.5
4,23,,,20,,,,,,NaT,4.5
4,24,,,28,,,,,,NaT,6.0
4,25,,,12,,,,,,NaT,9.0
4,26,,,20,,,,,,NaT,6.0
4,27,,,16,,,,,,NaT,4.5
4,28,,,32,,,,,,NaT,10.5
4,29,,,16,,,,,,NaT,7.5
4,30,,,20,,,,,,NaT,12.0
4,31,,,12,,,,,,NaT,4.5
4,32,,,28,,,,,,NaT,7.5
4,33,,,16,,,,,,NaT,10.5
4,34,,,28,,,,,,NaT,10.5
4,35,,,32,,,,,,NaT,7.5
4,36,,,24,,,,,,NaT,7.5
5,1,,,24,,,,,,NaT,9.0
5,2,,,16,,,,,,NaT,4.5
5,3,,,32,,,,,,NaT,10.5
5,4,,,16,,,,,,NaT,12.0
5,5,,,28,,,,,,NaT,7.5
5,6,,,24,,,,,,NaT,12.0
5,7,,,16,,,,,,NaT,9.0
5,8,,,12,,,,,,NaT,6.0
5,9,,,28,,,,,,NaT,10.5
5,10,,,24,,,,,,NaT,4.5
5,11,,,24,,,,,,NaT,7.5
5,12,,,20,,,,,,NaT,12.0
5,13,,,12,,,,,,NaT,9.0
5,14,,,28,,,,,,NaT,12.0
5,15,,,32,,,,,,NaT,9.0
5,16,,,16,,,,,,NaT,6.0
5,17,,,12,,,,,,NaT,4.5
5,18,,,28,,,,,,NaT,6.0
5,19,,,32,,,,,,NaT,6.0
5,20,,,20,,,,,,NaT,7.5
5,21,,,24,,,,,,NaT,10.5
5,22,,,12,,,,,,NaT,10.5
5,23,,,28,,,,,,NaT,9.0
5,24,,,16,,,,,,NaT,7.5
5,25,,,32,,,,,,NaT,4.5
5,26,,,12,,,,,,NaT,7.5
5,27,,,12,,,,,,NaT,12.0
5,28,,,32,,,,,,NaT,7.5
5,29,,,32,,,,,,NaT,12.0
5,30,,,20,,,,,,NaT,10.5
5,31,,,28,,,,,,NaT,4.5
5,32,,,16,,,,,,NaT,10.5
5,33,,,20,,,,,,NaT,9.0
5,34,,,20,,,,,,NaT,4.5
5,35,,,24,,,,,,NaT,6.0
5,36,,,20,,,,,,NaT,6.0
6,1,,,32,,,,,,NaT,6.0
6,2,,,24,,,,,,NaT,12.0
6,3,,,28,,,,,,NaT,7.5
6,4,,,12,,,,,,NaT,4.5
6,5,,,20,,,,,,NaT,12.0
6,6,,,16,,,,,,NaT,10.5
6,7,,,20,,,,,,NaT,6.0
6,8,,,32,,,,,,NaT,7.5
6,9,,,32,,,,,,NaT,4.5
6,10,,,24,,,,,,NaT,9.0
6,11,,,16,,,,,,NaT,9.0
6,12,,,12,,,,,,NaT,7.5
6,13,,,16,,,,,,NaT,7.5
6,14,,,20,,,,,,NaT,10.5
6,15,,,24,,,,,,NaT,7.5
6,16,,,16,,,,,,NaT,12.0
6,17,,,28,,,,,,NaT,10.5
6,18,,,12,,,,,,NaT,12.0
6,19,,,32,,,,,,NaT,12.0
6,20,,,16,,,,,,NaT,6.0
6,21,,,28,,,,,,NaT,4.5
6,22,,,28,,,,,,NaT,12.0
6,23,,,20,,,,,,NaT,7.5
6,24,,,28,,,,,,NaT,6.0
6,25,,,24,,,,,,NaT,10.5
6,26,,,32,,,,,,NaT,10.5
6,27,,,20,,,,,,NaT,4.5
6,28,,,16,,,,,,NaT,4.5
6,29,,,24,,,,,,NaT,4.5
6,30,,,12,,,,,,NaT,9.0
6,31,,,28,,,,,,NaT,9.0
6,32,,,12,,,,,,NaT,6.0
6,33,,,12,,,,,,NaT,10.5
6,34,,,32,,,,,,NaT,9.0
