participant,trial,age,full_height,height,hip_height,knee_height,max_afforded_obstacle_height,outbound,return,time,width
2,30,30.0,0,16,0,0,28,over,around,2015-02-03 11:41:09.203482,6.0
2,31,30.0,0,24,0,0,28,over,around,2015-02-03 11:41:44.361793,6.0
2,32,30.0,0,20,0,0,28,over,around,2015-02-03 11:42:18.656624,7.5
2,33,30.0,0,12,0,0,28,over,around,2015-02-03 11:42:55.322710,4.5
2,34,30.0,0,12,0,0,28,over,around,2015-02-03 11:43:32.699342,12.0
2,35,30.0,0,20,0,0,28,over,around,2015-02-03 11:44:09.279052,4.5
2,36,30.0,0,28,0,0,28,around,around,2015-02-03 11:44:47.331327,6.0
3,1,,,24,,,,,,NaT,4.5
3,2,,,16,,,,,,NaT,9.0
3,3,,,12,,,,,,NaT,9.0
3,4,,,20,,,,,,NaT,4.5
3,5,,,24,,,,,,NaT,12.0
3,6,,,32,,,,,,NaT,6.0
3,7,,,28,,,,,,NaT,9.0
3,8,,,16,,,,,,NaT,4.5
3,9,,,28,,,,,,NaT,7.5
3,10,,,24,,,,,,NaT,9.0
3,11,,,16,,,,,,NaT,12.0
3,12,,,32,,,,,,NaT,7.5
3,13,,,12,,,,,,NaT,12.0
3,14,,,32,,,,,,NaT,12.0
3,15,,,28,,,,,,NaT,10.5
3,16,,,20,,,,,,NaT,12.0
3,17,,,24,,,,,,NaT,6.0
3,18,,,32,,,,,,NaT,9.0
3,19,,,20,,,,,,NaT,9.0
3,20,,,28,,,,,,NaT,12.0
3,21,,,16,,,,,,NaT,6.0
3,22,,,24,,,,,,NaT,10.5
3,23,,,24,,,,,,NaT,7.5
3,24,,,32,,,,,,NaT,4.5
3,25,,,20,,,,,,NaT,6.0
3,26,,,16,,,,,,NaT,7.5
3,27,,,16,,,,,,NaT,10.5
3,28,,,12,,,,,,NaT,6.0
3,29,,,32,,,,,,NaT,10.5
3,30,,,12,,,,,,NaT,10.5
3,31,,,28,,,,,,NaT,4.5
3,32,,,20,,,,,,NaT,7.5
3,33,,,12,,,,,,NaT,4.5
3,34,,,12,,,,,,NaT,7.5
3,35,,,20,,,,,,NaT,10.5
3,36,,,28,,,,,,NaT,6.0
